Height: 49.8501, Sum: 1000
x	y	r
17.944	43.146	0.470
18.883	43.205	0.471
19.823	43.259	0.471
20.760	43.356	0.471
21.699	43.451	0.472
22.640	43.518	0.472
23.583	43.568	0.472
24.527	43.609	0.473
0.322	40.865	0.313
1.018	41.185	0.453
1.892	41.426	0.454
2.767	41.669	0.454
3.642	41.915	0.455
4.523	42.145	0.455
5.404	42.371	0.455
6.288	42.592	0.456
7.176	42.799	0.456
8.069	42.988	0.457
8.969	43.151	0.457
9.872	43.292	0.457
10.784	43.365	0.458
11.700	43.366	0.458
12.602	43.527	0.458
13.510	43.653	0.459
14.422	43.762	0.459
15.335	43.860	0.460
16.251	43.944	0.460
17.169	44.004	0.460
18.088	44.065	0.461
19.008	44.128	0.461
19.929	44.185	0.461
20.846	44.285	0.462
21.765	44.382	0.462
22.687	44.452	0.463
23.612	44.503	0.463
24.537	44.545	0.463
0.313	41.453	0.275
0.734	42.033	0.441
1.585	42.268	0.442
2.437	42.501	0.442
3.289	42.739	0.442
4.146	42.960	0.443
5.005	43.175	0.443
5.866	43.388	0.444
6.733	43.582	0.444
7.604	43.760	0.445
8.481	43.910	0.445
9.362	44.036	0.445
10.251	44.095	0.446
11.143	44.079	0.446
12.024	44.223	0.447
12.904	44.380	0.447
13.789	44.517	0.448
14.677	44.632	0.448
15.567	44.738	0.448
16.459	44.829	0.449
17.355	44.894	0.449
18.252	44.962	0.450
19.149	45.028	0.450
20.048	45.089	0.451
20.944	45.192	0.451
21.841	45.292	0.451
22.741	45.365	0.452
23.643	45.418	0.452
24.547	45.461	0.453
0.617	42.892	0.426
1.438	43.124	0.427
2.261	43.352	0.427
3.084	43.584	0.428
3.912	43.799	0.428
4.744	44.007	0.429
5.577	44.211	0.429
6.416	44.397	0.430
7.259	44.565	0.430
8.109	44.703	0.431
8.964	44.817	0.431
9.825	44.863	0.432
10.690	44.832	0.433
11.546	44.962	0.433
12.401	45.101	0.433
13.259	45.222	0.434
14.120	45.334	0.434
14.979	45.462	0.435
15.842	45.577	0.435
16.707	45.679	0.436
17.576	45.751	0.436
18.446	45.827	0.437
19.317	45.899	0.437
20.189	45.967	0.438
21.058	46.074	0.438
21.929	46.178	0.439
22.804	46.254	0.439
23.681	46.309	0.440
24.560	46.354	0.440
0.704	43.721	0.408
1.485	43.959	0.409
2.270	44.188	0.409
3.055	44.422	0.410
3.848	44.635	0.411
4.644	44.841	0.411
5.442	45.041	0.412
6.247	45.223	0.413
7.057	45.383	0.413
7.874	45.515	0.414
8.696	45.619	0.415
9.525	45.655	0.415
10.355	45.612	0.416
11.180	45.729	0.417
12.005	45.853	0.417
12.833	45.960	0.418
13.664	46.054	0.418
14.493	46.164	0.419
15.327	46.259	0.420
16.160	46.370	0.420
16.992	46.487	0.421
17.830	46.569	0.421
18.669	46.656	0.422
19.509	46.736	0.422
20.351	46.813	0.423
21.190	46.926	0.424
22.031	47.035	0.424
22.876	47.115	0.425
23.724	47.173	0.425
24.574	47.220	0.426
0.419	44.458	0.382
1.152	44.677	0.383
1.890	44.884	0.384
2.630	45.094	0.385
3.379	45.279	0.386
4.131	45.451	0.386
4.887	45.616	0.387
5.635	45.818	0.388
6.387	46.012	0.389
7.148	46.181	0.390
7.916	46.319	0.391
8.692	46.426	0.392
9.476	46.462	0.393
10.262	46.417	0.394
11.043	46.530	0.395
11.824	46.645	0.395
12.609	46.742	0.396
13.398	46.824	0.397
14.187	46.922	0.398
14.980	47.001	0.399
15.773	47.092	0.399
16.566	47.188	0.400
17.365	47.247	0.401
18.164	47.321	0.402
18.961	47.427	0.402
19.761	47.522	0.403
20.563	47.612	0.404
21.362	47.737	0.405
22.164	47.853	0.405
22.970	47.941	0.406
23.781	48.003	0.407
24.593	48.052	0.407
0.744	45.251	0.321
1.378	45.373	0.324
1.992	45.588	0.327
2.611	45.809	0.330
3.249	45.987	0.333
3.902	46.136	0.336
4.563	46.264	0.338
5.223	46.419	0.340
5.893	46.553	0.343
6.559	46.726	0.345
7.225	46.914	0.347
7.906	47.059	0.349
8.597	47.162	0.350
9.299	47.185	0.352
10.002	47.118	0.354
10.707	47.201	0.356
11.416	47.276	0.357
12.129	47.335	0.359
12.837	47.463	0.360
13.551	47.567	0.362
14.268	47.678	0.363
14.990	47.765	0.365
15.716	47.855	0.366
16.443	47.945	0.367
17.178	47.993	0.369
17.914	48.052	0.370
18.651	48.135	0.371
19.391	48.205	0.373
20.136	48.263	0.374
20.880	48.350	0.375
21.621	48.474	0.376
22.361	48.610	0.377
23.109	48.712	0.378
23.863	48.784	0.379
24.620	48.839	0.380
20.138	48.878	0.241
20.637	48.939	0.262
21.174	48.947	0.275
21.704	49.130	0.285
22.263	49.271	0.292
22.850	49.338	0.299
23.453	49.331	0.304
24.059	49.448	0.313
24.683	49.533	0.317
